id,compound_name,species,strain,dosage,age_at_initiation,treatment_duration,avg_lifespan_change_percent,avg_lifespan_significance,max_lifespan_change_percent,max_lifespan_significance,gender_new,weight_change_percent,weight_change_significance,ITP,pubmed_id,notes,last_modified
3520,Perphenazine,Drosophila melanogaster,Canton-S,20 μM,,,4.84,NS,,NA,Female,,NA,No,33008901,,2024-06-20 16:44:27
3388,Pergolide methanesulfonate,Drosophila melanogaster,Canton-S,20 μM,,,-1.36,NS,,NA,Female,,NA,No,33008901,,2024-06-20 16:43:27
3515,Milnacipran Hydrochloride,Drosophila melanogaster,Canton-S,200 μM,,,4.02,NS,,NA,Male,,NA,No,33008901,,2024-06-20 16:38:28
787,Royal Jelly,Drosophila melanogaster,Oregon R,1% w/v,,,8.5,S,-4.0,NA,Male,,NA,No,23132575,It failed to work on females and on males using a smaller dosage (see same paper).,2024-06-20 16:26:54
1509,Royal Jelly,Drosophila melanogaster,Canton-S,1.25%,,,8.96,S,6.9,NA,Unknown,,NA,No,27388939,"Max lifespan defined as the day at which the last animal died. Base fly diet was prepared according to the traditional corn-yeast medium (105 g of corn, 75 g of sucrose, 40 g of yeast, 7.5 g of agar, and 10 mL of propionic acid mixed with hot water to make 1000 mL of diet). Casein-supplemented and MRJP-supplemented diets were prepared by dissolving 1.25 g of casein and 1.25, 2.50, or 5.00 g of lyophilized product into 100 g of base medium.",2024-06-20 16:26:47
1510,Royal Jelly,Drosophila melanogaster,Canton-S,2.50%,,,12.43,S,5.17,NA,Unknown,,NA,No,27388939,Max lifespan defined as the day at which the last animal died.,2024-06-20 16:26:40
1511,Royal Jelly,Drosophila melanogaster,Canton-S,5%,,,13.87,S,10.34,NA,Unknown,,NA,No,27388939,"Max lifespan defined as the day at which the last animal died. Base fly diet was prepared according to the traditional corn-yeast medium (105 g of corn, 75 g of sucrose, 40 g of yeast, 7.5 g of agar, and 10 mL of propionic acid mixed with hot water to make 1000 mL of diet). Casein-supplemented and MRJP-supplemented diets were prepared by dissolving 1.25 g of casein and 1.25, 2.50, or 5.00 g of lyophilized product into 100 g of base medium.",2024-06-20 16:26:33
633,Royal Jelly,Caenorhabditis elegans,N2,10 µg/ml,,,18.0,S,44.0,NA,Unknown,,NA,No,21858156,,2024-06-20 16:26:20
431,Cocoa extract,Drosophila melanogaster,rosy^+5,100 g/l medium,,,,NS,,NA,Male,,NA,No,19083435,Only survivorship curves are reported.,2024-06-20 16:18:37
434,Cocoa extract,Drosophila melanogaster,rosy^+5,50 g/l medium,,,,S,,NA,Male,,NA,No,19083435,The average lifespan extension was statistically significant but only survivorship curves are reported.,2024-06-20 16:18:33
2341,Cannabidiol,Caenorhabditis elegans,N2,10 µM,,,1.25,NS,,NA,Unknown,,NA,No,33008901,,2024-06-20 16:15:57
2542,Cannabidiol,Caenorhabditis elegans,N2,100 µM,,,0.69,NS,,NA,Unknown,,NA,No,33008901,,2024-06-20 16:15:50
1920,Berberine,Caenorhabditis elegans,N2,10 µM,,,-4.42,S,,NA,Unknown,,NA,No,33008901,,2024-06-20 16:12:44
1936,Berberine,Caenorhabditis elegans,N2,100 µM,,,-13.56,S,,NA,Unknown,,NA,No,33008901,,2024-06-20 16:12:30
3397,Berberine,Drosophila melanogaster,Canton-S,200 μM,,,-1.17,NS,,NA,Male,,NA,No,33008901,,2024-06-20 16:12:21
1035,Astragalus extract,Caenorhabditis elegans,N2,400 µg/ml,,,19.6,S,,NA,Unknown,,NA,No,25186652,Lifespan assay conducted on NGM.,2024-06-20 16:08:05
1036,Astragalus extract,Caenorhabditis elegans,N2,100 µg/ml,,,22.8,S,,NA,Unknown,,NA,No,25186652,Lifespan assay conducted on S-complete medium.,2024-06-20 16:07:57
1037,Astragalus extract,Caenorhabditis elegans,N2,200 µg/ml,,,20.7,S,,NA,Unknown,,NA,No,25186652,Lifespan assay conducted on NGM.,2024-06-20 16:07:50
1038,Astragalus extract,Caenorhabditis elegans,N2,600 µg/ml,,,30.8,S,,NA,Unknown,,NA,No,25186652,Lifespan assay conducted on NGM.,2024-06-20 16:07:43
1042,Astragalus extract,Caenorhabditis elegans,N2,200 µg/ml,,,24.7,S,,NA,Unknown,,NA,No,25186652,Lifespan assays conducted on S-complete medium.,2024-06-20 16:07:37
1034,Astragalus extract,Caenorhabditis elegans,N2,50 µg/ml,,,7.0,NS,,NA,Unknown,,NA,No,25186652,Lifespan assay conducted on S-complete medium.,2024-06-20 16:07:30
539,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,4 µl/100 ml media,,,12.4,S,6.4,NA,Unknown,,NA,No,20738162,ethanol extract,2024-06-20 15:59:42
540,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,26.8,S,21.3,NA,Male,,NA,No,20738162,ethanol extract,2024-06-20 15:59:28
541,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,4 µl/100 ml media,,,16.0,S,14.0,NA,Unknown,,NA,No,20738162,ethanol extract,2024-06-20 15:59:12
542,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,44.4,S,8.0,NA,Male,,NA,No,20738162,ethanol extract,2024-06-20 15:58:55
543,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,55.7,S,36.0,NA,Female,,NA,No,20738162,ethanol extract,2024-06-20 15:58:40
544,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,21.9,S,8.0,NA,Female,,NA,No,20738162,water extract,2024-06-20 15:58:24
545,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,22.1,S,10.6,NA,Male,,NA,No,20738162,water extract,2024-06-20 15:58:15
546,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,32.0,S,14.9,NA,Male,,NA,No,20738162,water extract,2024-06-20 15:58:05
547,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,12 µl/100 ml media,,,31.3,S,22.0,NA,Female,,NA,No,20738162,ethanol extract,2024-06-20 15:57:53
553,Stachys lavandulifolia extract,Drosophila melanogaster,Oregon R,20 µl/100 ml media,,,35.6,S,14.0,NA,Female,,NA,No,20738162,water extract,2024-06-20 15:57:29
834,Rhodiola rosea extract,Drosophila melanogaster,w1118,NA,,,40.0,S,,NA,Female,,NA,No,23704949,Food supplement was 9% yeast.,2024-06-20 15:54:02
833,Rhodiola rosea extract,Drosophila melanogaster,w1118,NA,,,36.0,S,,NA,Male,,NA,No,23704949,Food supplement was 9% yeast.,2024-06-20 15:53:52
394,Rhodiola rosea extract,Drosophila melanogaster,,30 mg/mL,,,11.9,S,,NA,Female,,NA,No,17990971,,2024-06-20 15:53:44
397,Rhodiola rosea extract,Drosophila melanogaster,,30 mg/mL,,,14.0,S,,NA,Male,,NA,No,17990971,,2024-06-20 15:53:38
410,Rhodiola rosea extract,Caenorhabditis elegans,N2,10 µg/ml,,,15.0,S,,NA,Unknown,,NA,No,18536978,,2024-06-20 15:53:30
962,Rhodiola rosea extract,Drosophila melanogaster,IF,2.5 mg/ml,,,2.4,NS,-6.0,NA,Male,,NA,No,24472572,,2024-06-20 15:53:22
963,Rhodiola rosea extract,Drosophila melanogaster,IF,10 mg/ml,,,13.6,S,3.9,NA,Female,,NA,No,24472572,,2024-06-20 15:53:14
965,Rhodiola rosea extract,Drosophila melanogaster,IF,30 mg/ml,,,-9.1,S,-12.2,NA,Female,,NA,No,24472572,,2024-06-20 15:53:04
966,Rhodiola rosea extract,Drosophila melanogaster,IF,2.5 mg/ml,,,6.8,NS,-2.9,NA,Female,,NA,No,24472572,,2024-06-20 15:52:56
967,Rhodiola rosea extract,Drosophila melanogaster,IF,10 mg/ml,,,14.3,S,6.0,NA,Male,,NA,No,24472572,,2024-06-20 15:52:49
968,Rhodiola rosea extract,Drosophila melanogaster,IF,30 mg/ml,,,-11.9,S,-16.4,NA,Male,,NA,No,24472572,,2024-06-20 15:52:42
970,Rhodiola rosea extract,Drosophila melanogaster,IF,5 mg/ml,,,13.6,S,3.4,NA,Female,,NA,No,24472572,,2024-06-20 15:52:36
971,Rhodiola rosea extract,Drosophila melanogaster,IF,5 mg/ml,,,16.7,S,6.6,NA,Male,,NA,No,24472572,,2024-06-20 15:52:26
1292,Rhodiola rosea extract,Bombyx mori,N4,,,,1.5,S,1.6,NA,Male,,NA,No,26497336,Animals were in the caterpillar/larvae stage.,2024-06-20 15:52:19
1293,Rhodiola rosea extract,Bombyx mori,N4,,,,2.7,S,2.7,NA,Female,,NA,No,26497336,Animals were in the caterpillar/larvae stage.,2024-06-20 15:52:09
927,Ginseng extract,Drosophila melanogaster,w1118,12 µg/ml,,,13.5,S,,NA,Female,,NA,No,24265871,,2024-06-20 15:47:42
928,Ginseng extract,Drosophila melanogaster,w1118,1.2 µg/ml,,,14.5,S,,NA,Female,,NA,No,24265871,,2024-06-20 15:47:37
930,Ginseng extract,Drosophila melanogaster,w1118,0.12 µg/ml,,,5.7,NS,,NA,Female,,NA,No,24265871,,2024-06-20 15:47:30
537,Apple extract,Caenorhabditis elegans,N2,100 µg/ml,,,12.0,S,,NA,Unknown,,NA,No,20717869,,2024-06-20 15:41:44
561,Apple extract,Drosophila melanogaster,Oregon R,NA,,,10.0,S,,NA,Unknown,,NA,No,21319854,,2024-06-20 15:41:36
748,Apple extract,Saccharomyces cerevisiae,MCY4/KlLSM4::kanMX4,1 gr,,,78.5,NS,,NA,Unknown,,NA,No,22970337,No statistical analysis of the significance of the results was reported.,2024-06-20 15:41:29
749,Apple extract,Saccharomyces cerevisiae,MCY4/KlLSM4::kanMX4,1 gr,,,7.0,NS,,NA,Unknown,,NA,No,22970337,No statistical analysis of the significance of the results was reported.,2024-06-20 15:41:19
751,Apple extract,Saccharomyces cerevisiae,MCY4/KlLSM4::kanMX4,1 gr,,,28.5,NS,,NA,Unknown,,NA,No,22970337,No statistical analysis of significance of the results was reported.,2024-06-20 15:41:12
138,Green tea extract,Drosophila melanogaster,Oregon R,Instead of water,,,15.7,S,,NA,Male,,NA,No,8326745,Tetley brand. It failed to work when diluted 1:10 or 1:100.,2024-06-20 15:22:19
139,Green tea extract,Drosophila melanogaster,Oregon R,1:10 dilution,,,7.0,S,,NA,Male,,NA,No,8326745,Salada brand. It failed to work when diluted 1:100.,2024-06-20 15:22:13
140,Green tea extract,Drosophila melanogaster,Oregon R,Instead of water,,,20.2,S,,NA,Male,,NA,No,8326745,,2024-06-20 15:22:06
147,Green tea extract,Drosophila melanogaster,Oregon R,Instead of water,,,12.2,S,,NA,Male,,NA,No,8326745,Salada brand.,2024-06-20 15:21:53
1274,Cranberry extract,Drosophila melanogaster,Oregon-R-C,20 mg/ml,,,10.4,S,5.1,NA,Unknown,,NA,No,26159161,,2024-06-20 15:13:26
1275,Cranberry extract,Drosophila melanogaster,Oregon-R-C,5 mg/ml,,,6.3,S,0.0,NA,Unknown,,NA,No,26159161,,2024-06-20 15:13:18
1356,Blueberry extract,Caenorhabditis elegans,N2,60 µg/mL,,,56.0,NA,,NA,Unknown,,NA,No,27486399,Awaiting Information From Authors,2024-06-20 15:10:43
4056,BP-C3 (benzenepolycarboxylic acids mixture),Mus musculus,Swiss-Derived SHR,50 ppm water,3 months,until death,8.0,S,12.0,S,Female,,NA,No,27574962,"Mixture of compounds containing polyphenolic benzenepolycarboxylic acids, vitamins and minerals",2024-06-20 15:02:44
3917,Icariin,Mus musculus,C57BL/6,200 ppm food,12 months,until death,8.0,S,6.0,NS,Male,-6.0,S,No,26145038,,2024-06-20 14:50:35
4071,Epimedium extract,Mus musculus,C57BL/6J,600 ppm food,12 months,until death,4.0,NS,3.0,NS,Male,,NA,No,26145038,,2024-06-20 14:50:07
4070,Tetrahydrocurcumin,Mus musculus,C57BL/6JHsd,2000 ppm food,13 months,until death,11.0,S,6.0,S,Male,-5.0,S,No,17516143,,2024-06-20 14:34:18
4068,Green tea extract,Mus musculus,C57BL/6JHsd,80 ppm water,13 months,until death,6.0,S,1.0,NS,Male,,NA,No,17516143,,2024-06-20 14:33:59
4069,Tetrahydrocurcumin,Mus musculus,C57BL/6JHsd,2000 ppm food,19 months,until death,3.0,NS,6.0,NS,Male,-5.0,S,No,17516143,,2024-06-20 14:30:50
4067,Ginseng extract,Mus musculus,LACa,40 ppm/day,2 months,until death,-2.0,NS,0.0,NS,Male,,NA,No,571386,,2024-06-20 14:06:37
4066,Ginseng extract,Mus musculus,LACa,40 ppm/day,2 months,until death,9.0,NS,2.0,NS,Female,,NA,No,571386,,2024-06-20 14:06:24
4065,Ginseng extract,Mus musculus,LACa,40 ppm/day,12 months,until death,3.0,NS,14.0,NS,Female,,NA,No,571386,,2024-06-20 14:05:47
4064,Ginseng extract,Mus musculus,LACa,40 ppm/day,12 months,until death,-2.0,NS,11.0,NS,Male,,NA,No,571386,,2024-06-20 14:05:31
4063,Epithalamin,Mus musculus,SHR,,,,11.0,S,0.0,NA,Female,,NA,No,9701766,Non-standardized pineal gland preparation,2024-06-20 14:04:43
4062,Epithalamin,Mus musculus,C3H/Sn,,,,31.0,S,10.0,NA,Female,,NA,No,9701766,Non-standardized pineal gland preparation,2024-06-20 14:04:12
4061,C60 fullerene,Mus musculus,CBA/Ca,3.4 ppm in virgin olive oil,10-12 months,7 months,0.0,NS,0.0,NA,Male,,NA,No,33849306,,2024-06-20 14:03:23
4060,C60 fullerene,Mus musculus,CBA/Ca,3.4 ppm in virgin olive oil,10-12 months,7 months,7.0,NS,2.0,NA,Female,,NA,No,33849306,,2024-06-20 14:03:01
1025,Green tea extract,Drosophila melanogaster,w1118,10 mg/ml,,,19.0,S,,NA,Male,,NA,No,25058464,,2024-06-20 13:27:01
4059,Fisetin,Mus musculus,f1 C57BL/6:FVB,500 ppm food,21 months,until death,10.0,S,6.0,NA,Pooled,,NA,No,30279143,"Lifespan changes approximate, estimated from plots",2024-06-20 12:52:39
180,Epithalamin,Rattus norvegicus,,NA,,,25.0,S,,NA,Unknown,,NA,No,9701766,,2024-06-20 12:18:58
175,Epithalamin,Drosophila melanogaster,,NA,,,16.0,S,,NA,Unknown,,NA,No,9701766,,2024-06-20 12:18:50
